gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-01-01,PEAK,"Passenger Wait Time",109737.579218765,115477.358072389,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-01-01,OFF_PEAK,"Passenger Wait Time",118261.143198789,123752.426710531,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-01-01,PEAK,"Passenger Wait Time",75544.710815008,81215.690621092,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-01-01,OFF_PEAK,"Passenger Wait Time",87194.733692836,93077.883918234,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-01-01,PEAK,"Passenger Wait Time",7365.989238457,9761.582051550,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-01-01,OFF_PEAK,"Passenger Wait Time",9931.203070624,13771.622963601,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-01-01,OFF_PEAK,"Passenger Wait Time",15032.777428310,18530.294538215,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-01-01,PEAK,"Passenger Wait Time",10633.345790578,12735.610946775,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-01-01,OFF_PEAK,"Passenger Wait Time",13380.285014412,16701.691011207,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-01-01,PEAK,"Passenger Wait Time",10608.663405612,13511.952783114,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-01-01,PEAK,"Passenger Wait Time",15775.170987062,18862.411064830,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-01-01,OFF_PEAK,"Passenger Wait Time",21669.990966874,25223.772873354,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-01-01,PEAK,"Passenger Wait Time",26373.926943240,28694.241411760,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-01-01,OFF_PEAK,"Passenger Wait Time",39046.143706753,40385.480652978,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-01-01,PEAK,"Headway / Schedule Adherence",291.000000000,366.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-01-01,OFF_PEAK,"Headway / Schedule Adherence",1060.000000000,1279.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-01-01,PEAK,"Headway / Schedule Adherence",117.000000000,150.000000000,
