gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-02-01,OFF_PEAK,"Passenger Wait Time",116014.578928091,127764.919055225,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-02-01,PEAK,"Passenger Wait Time",85892.632100026,102423.316429902,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-02-01,OFF_PEAK,"Passenger Wait Time",85559.100147331,93012.846306189,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-02-01,PEAK,"Passenger Wait Time",61726.070238413,71574.529894286,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-02-01,PEAK,"Passenger Wait Time",5508.329495810,8348.828117061,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-02-01,OFF_PEAK,"Passenger Wait Time",9292.062995484,13614.411341176,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-02-01,OFF_PEAK,"Passenger Wait Time",13821.241707346,17460.070348230,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-02-01,PEAK,"Passenger Wait Time",10266.097486475,13226.162958095,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-02-01,OFF_PEAK,"Passenger Wait Time",12099.919850402,17252.410236673,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-02-01,PEAK,"Passenger Wait Time",8958.216225279,12884.513322311,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-02-01,PEAK,"Passenger Wait Time",14786.311949971,18455.339493397,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-02-01,OFF_PEAK,"Passenger Wait Time",19423.491241219,25453.006457062,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-02-01,PEAK,"Passenger Wait Time",25478.336375721,26791.775931092,
