gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-03-01,PEAK,"Passenger Wait Time",103336.893664132,111388.754980796,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-03-01,OFF_PEAK,"Passenger Wait Time",114849.115033063,127491.851870729,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-03-01,OFF_PEAK,"Passenger Wait Time",84978.864433471,95763.820783682,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-03-01,PEAK,"Passenger Wait Time",70839.494876935,80209.904646895,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-03-01,PEAK,"Passenger Wait Time",6924.385149982,9440.502104598,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-03-01,OFF_PEAK,"Passenger Wait Time",9346.315906050,13011.537830817,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-03-01,OFF_PEAK,"Passenger Wait Time",13984.070207506,17795.374503449,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-03-01,PEAK,"Passenger Wait Time",9715.846686701,12147.700176319,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-03-01,OFF_PEAK,"Passenger Wait Time",12774.348813459,18041.287150920,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-03-01,PEAK,"Passenger Wait Time",9466.319672631,13056.350467633,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-03-01,PEAK,"Passenger Wait Time",13890.038302605,18100.376932919,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-03-01,OFF_PEAK,"Passenger Wait Time",19312.486921992,25059.777513596,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-03-01,OFF_PEAK,"Passenger Wait Time",39056.930170737,41902.395354918,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-03-01,PEAK,"Passenger Wait Time",27289.039405196,28610.005507291,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-03-01,PEAK,"Headway / Schedule Adherence",261.000000000,353.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-03-01,OFF_PEAK,"Headway / Schedule Adherence",923.000000000,1193.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-03-01,PEAK,"Headway / Schedule Adherence",219.000000000,240.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-03-01,OFF_PEAK,"Headway / Schedule Adherence",339.000000000,410.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-03-01,PEAK,"Headway / Schedule Adherence",266.000000000,342.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-03-01,OFF_PEAK,"Headway / Schedule Adherence",972.000000000,1207.000000000,
