gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-04-01,OFF_PEAK,"Passenger Wait Time",115250.867252538,127465.154243218,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-04-01,PEAK,"Passenger Wait Time",91138.015630512,129229.084910955,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-04-01,OFF_PEAK,"Passenger Wait Time",91761.601227863,97282.560739840,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-04-01,PEAK,"Passenger Wait Time",74487.452469926,77317.722435606,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-04-01,OFF_PEAK,"Passenger Wait Time",6542.795395645,8570.382447189,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-04-01,PEAK,"Passenger Wait Time",4191.634237391,5366.983963119,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-04-01,PEAK,"Passenger Wait Time",11357.941739346,13232.445245217,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-04-01,OFF_PEAK,"Passenger Wait Time",16473.358041364,20327.872465872,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-04-01,PEAK,"Passenger Wait Time",11794.995126694,15131.522605973,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-04-01,OFF_PEAK,"Passenger Wait Time",13680.810064563,17825.924830760,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-04-01,OFF_PEAK,"Passenger Wait Time",22203.112653881,26889.923420762,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-04-01,PEAK,"Passenger Wait Time",16319.360115693,19488.184420445,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-04-01,PEAK,"Passenger Wait Time",26365.619810250,28021.717192198,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-04-01,OFF_PEAK,"Passenger Wait Time",40404.150923530,43294.899214403,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",839.000000000,1027.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",193.000000000,245.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",299.000000000,335.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",441.000000000,539.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",202.000000000,238.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",878.000000000,1046.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",415.000000000,501.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",1148.000000000,1376.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",1835.000000000,2355.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",691.000000000,853.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",30.000000000,30.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,23.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",18.000000000,21.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,32.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",25.000000000,26.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",11.000000000,15.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",26.000000000,27.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",34.000000000,34.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",12.000000000,15.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",7.000000000,10.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,22.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,23.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",17.000000000,19.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",8.000000000,10.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",11.000000000,13.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",7.000000000,10.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,18.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",28.000000000,28.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2019-04-01,PEAK,"Headway / Schedule Adherence",12.000000000,15.000000000,.000000000
701,CT1,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",177.000000000,220.000000000,
701,CT1,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",212.000000000,366.000000000,
747,CT2,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",257.000000000,393.000000000,
747,CT2,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",181.000000000,257.000000000,
708,CT3,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",109.000000000,166.000000000,
708,CT3,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",144.000000000,215.000000000,
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",1045.000000000,1370.000000000,
1,1,,"Key Bus Route (Frequent Service)","Key Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",344.000000000,468.000000000,
4,4,,"Limited Service","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",98.000000000,139.000000000,
4,4,,"Limited Service","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",23.000000000,33.000000000,
5,5,,"Limited Service","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",39.000000000,50.000000000,
7,7,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",361.000000000,426.000000000,
7,7,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",361.000000000,415.000000000,
8,8,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",132.000000000,227.000000000,
8,8,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",325.000000000,541.000000000,
9,9,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",333.000000000,401.000000000,
9,9,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",507.000000000,626.000000000,
10,10,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",290.000000000,435.000000000,
10,10,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",131.000000000,174.000000000,
11,11,,"Local Bus","Other Bus",Bus,2019-04-01,OFF_PEAK,"Headway / Schedule Adherence",422.000000000,558.000000000,
11,11,,"Local Bus","Other Bus",Bus,2019-04-01,PEAK,"Headway / Schedule Adherence",306.000000000,364.000000000,
