gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-05-01,PEAK,"Passenger Wait Time",97219.402034446,106082.265232558,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-05-01,OFF_PEAK,"Passenger Wait Time",108106.672689389,119039.072351575,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-05-01,OFF_PEAK,"Passenger Wait Time",84814.812115136,93358.082101632,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-05-01,PEAK,"Passenger Wait Time",72990.404463512,80085.855123579,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-05-01,PEAK,"Passenger Wait Time",4125.530905831,5163.628823451,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-05-01,OFF_PEAK,"Passenger Wait Time",7191.057932802,8575.153468323,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-05-01,PEAK,"Passenger Wait Time",11194.651901936,13963.831452374,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-05-01,OFF_PEAK,"Passenger Wait Time",15103.972892421,18140.681880917,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-05-01,OFF_PEAK,"Passenger Wait Time",14213.758746203,17824.218091233,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-05-01,PEAK,"Passenger Wait Time",10985.217895169,14540.748547808,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-05-01,OFF_PEAK,"Passenger Wait Time",24132.359511499,27873.064287020,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-05-01,PEAK,"Passenger Wait Time",17496.530399294,19870.944744962,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-05-01,OFF_PEAK,"Passenger Wait Time",39911.463499319,43263.729902060,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-05-01,PEAK,"Passenger Wait Time",27864.308106676,28345.829796532,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-05-01,OFF_PEAK,"Headway / Schedule Adherence",701.000000000,937.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-05-01,PEAK,"Headway / Schedule Adherence",191.000000000,283.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-05-01,PEAK,"Headway / Schedule Adherence",168.000000000,206.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-05-01,OFF_PEAK,"Headway / Schedule Adherence",192.000000000,231.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-05-01,PEAK,"Headway / Schedule Adherence",250.000000000,324.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-05-01,OFF_PEAK,"Headway / Schedule Adherence",924.000000000,1201.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2019-05-01,PEAK,"Headway / Schedule Adherence",348.000000000,494.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2019-05-01,OFF_PEAK,"Headway / Schedule Adherence",1053.000000000,1278.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2019-05-01,OFF_PEAK,"Headway / Schedule Adherence",1667.000000000,2275.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2019-05-01,PEAK,"Headway / Schedule Adherence",596.000000000,861.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2019-05-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2019-05-01,OFF_PEAK,"Headway / Schedule Adherence",30.000000000,30.000000000,.000000000
