gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-06-01,OFF_PEAK,"Passenger Wait Time",86717.560188071,91239.479924582,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-06-01,OFF_PEAK,"Passenger Wait Time",66340.730487791,68456.006044711,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-06-01,OFF_PEAK,"Passenger Wait Time",6024.993176308,7197.179005550,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-06-01,OFF_PEAK,"Passenger Wait Time",19174.629937062,23005.739440568,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-06-01,OFF_PEAK,"Passenger Wait Time",16852.938714425,21023.306107278,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-06-01,OFF_PEAK,"Passenger Wait Time",27651.335897650,31168.581869232,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-06-01,OFF_PEAK,"Passenger Wait Time",22582.895025938,24145.832493252,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-06-01,OFF_PEAK,"Headway / Schedule Adherence",1149.000000000,1459.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-06-01,OFF_PEAK,"Headway / Schedule Adherence",227.000000000,261.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-06-01,OFF_PEAK,"Headway / Schedule Adherence",1203.000000000,1456.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2019-06-01,OFF_PEAK,"Headway / Schedule Adherence",760.000000000,1148.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2019-06-01,OFF_PEAK,"Headway / Schedule Adherence",2126.000000000,2980.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2019-06-01,OFF_PEAK,"Headway / Schedule Adherence",17.000000000,32.000000000,12.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2019-06-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2019-06-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2019-06-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2019-06-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2019-06-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,19.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2019-06-01,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,18.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2019-06-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
