gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-07-01,OFF_PEAK,"Passenger Wait Time",78920.893087993,103751.774214118,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-07-01,PEAK,"Passenger Wait Time",75943.633186281,95164.213151738,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-07-01,OFF_PEAK,"Passenger Wait Time",81025.524322426,90729.765624608,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-07-01,PEAK,"Passenger Wait Time",75617.794117072,79851.852426599,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-07-01,PEAK,"Passenger Wait Time",4604.851170993,5411.031632529,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-07-01,OFF_PEAK,"Passenger Wait Time",7370.078050385,8629.399543377,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-07-01,PEAK,"Passenger Wait Time",11426.290367354,14052.136541032,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-07-01,OFF_PEAK,"Passenger Wait Time",15215.591941215,18733.498007296,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-07-01,PEAK,"Passenger Wait Time",10877.791625012,14737.595856638,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-07-01,OFF_PEAK,"Passenger Wait Time",15446.150070743,19908.901572650,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-07-01,OFF_PEAK,"Passenger Wait Time",22695.015128164,26739.390671322,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-07-01,PEAK,"Passenger Wait Time",15467.945525521,19419.289745972,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-07-01,PEAK,"Passenger Wait Time",28222.093335969,28679.315254799,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-07-01,OFF_PEAK,"Passenger Wait Time",41383.801282691,43126.721256864,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",894.000000000,1055.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",289.000000000,390.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",334.000000000,401.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",194.000000000,227.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",773.000000000,967.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",241.000000000,292.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",417.000000000,498.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",1148.000000000,1388.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2019-07-01,PEAK,"Headway / Schedule Adherence",697.000000000,828.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",1769.000000000,2181.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2019-07-01,PEAK,"Headway / Schedule Adherence",8.000000000,9.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",29.000000000,30.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2019-07-01,OFF_PEAK,"Headway / Schedule Adherence",22.000000000,23.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2019-07-01,PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
