gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-08-01,PEAK,"Passenger Wait Time",82874.517166608,98731.073680596,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-08-01,OFF_PEAK,"Passenger Wait Time",94970.939142227,111946.666814108,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-08-01,OFF_PEAK,"Passenger Wait Time",80421.793020764,92136.477277970,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-08-01,PEAK,"Passenger Wait Time",73626.634484783,78655.575551932,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-08-01,PEAK,"Passenger Wait Time",3914.886035166,4978.381373162,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-08-01,OFF_PEAK,"Passenger Wait Time",6753.638189551,8363.666806027,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-08-01,OFF_PEAK,"Passenger Wait Time",14083.006592190,18527.495939518,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-08-01,PEAK,"Passenger Wait Time",10968.882583223,13467.765450534,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-08-01,PEAK,"Passenger Wait Time",12138.617982264,15383.658687693,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-08-01,OFF_PEAK,"Passenger Wait Time",13566.843909609,18092.697095317,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-08-01,OFF_PEAK,"Passenger Wait Time",22339.015206713,27641.768516651,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-08-01,PEAK,"Passenger Wait Time",16973.035050150,19965.372868174,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-08-01,OFF_PEAK,"Passenger Wait Time",40071.331228373,42864.008617431,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-08-01,PEAK,"Passenger Wait Time",27847.717117384,28634.522194624,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-08-01,PEAK,"Headway / Schedule Adherence",235.000000000,311.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-08-01,OFF_PEAK,"Headway / Schedule Adherence",779.000000000,1001.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-08-01,PEAK,"Headway / Schedule Adherence",296.000000000,355.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-08-01,OFF_PEAK,"Headway / Schedule Adherence",412.000000000,488.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-08-01,PEAK,"Headway / Schedule Adherence",243.000000000,328.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-08-01,OFF_PEAK,"Headway / Schedule Adherence",850.000000000,1155.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2019-08-01,OFF_PEAK,"Headway / Schedule Adherence",983.000000000,1276.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2019-08-01,PEAK,"Headway / Schedule Adherence",385.000000000,500.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2019-08-01,OFF_PEAK,"Headway / Schedule Adherence",1717.000000000,2247.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2019-08-01,PEAK,"Headway / Schedule Adherence",604.000000000,778.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2019-08-01,OFF_PEAK,"Headway / Schedule Adherence",30.000000000,30.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2019-08-01,PEAK,"Headway / Schedule Adherence",7.000000000,9.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2019-08-01,PEAK,"Headway / Schedule Adherence",11.000000000,14.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2019-08-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,24.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2019-08-01,PEAK,"Headway / Schedule Adherence",16.000000000,21.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2019-08-01,OFF_PEAK,"Headway / Schedule Adherence",26.000000000,33.000000000,.000000000
