gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2019-09-01,OFF_PEAK,"Passenger Wait Time",62012.904747995,66600.260748781,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2019-09-01,OFF_PEAK,"Passenger Wait Time",42591.483748635,47975.325811358,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2019-09-01,OFF_PEAK,"Passenger Wait Time",6792.920306788,8358.058245604,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2019-09-01,OFF_PEAK,"Passenger Wait Time",9379.314065892,12313.242699181,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2019-09-01,OFF_PEAK,"Passenger Wait Time",10546.730052022,13686.042785846,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2019-09-01,OFF_PEAK,"Passenger Wait Time",8246.216845900,10345.666437716,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2019-09-01,OFF_PEAK,"Passenger Wait Time",32930.240605405,34169.254421960,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",1128.000000000,1492.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",670.000000000,766.000000000,
743,SL3,"Silver Line SL3","Rapid Transit","Silver Line",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",1011.000000000,1245.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",1190.000000000,1579.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",2048.000000000,2860.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2019-09-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,32.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2019-09-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,18.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2019-09-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2019-09-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2019-09-01,OFF_PEAK,"Headway / Schedule Adherence",12.000000000,14.000000000,.000000000
