NAME,DATE,PRCP,SNOW,TAVG
"BOSTON, MA US",2019-01-01,0.38,0,47
"BOSTON, MA US",2019-01-02,0,0,33
"BOSTON, MA US",2019-01-03,0.02,0,38
"BOSTON, MA US",2019-01-04,0,0,40
"BOSTON, MA US",2019-01-05,0.53,0,41
"BOSTON, MA US",2019-01-06,0,0,40
"BOSTON, MA US",2019-01-07,0,0,26
"BOSTON, MA US",2019-01-08,0.02,0,34
"BOSTON, MA US",2019-01-09,0.13,0,40
"BOSTON, MA US",2019-01-10,0,0,36
"BOSTON, MA US",2019-01-11,0,0,27
"BOSTON, MA US",2019-01-12,0,0,20
"BOSTON, MA US",2019-01-13,0,0,22
"BOSTON, MA US",2019-01-14,0,0,26
"BOSTON, MA US",2019-01-15,0,0,30
"BOSTON, MA US",2019-01-16,0,0,32
"BOSTON, MA US",2019-01-17,0,0,27
"BOSTON, MA US",2019-01-18,0,0,32
"BOSTON, MA US",2019-01-19,0.13,0.5,33
"BOSTON, MA US",2019-01-20,1.2,1.1,30
"BOSTON, MA US",2019-01-21,0,0,9
"BOSTON, MA US",2019-01-22,0,0,14
"BOSTON, MA US",2019-01-23,0,0,29
"BOSTON, MA US",2019-01-24,1,0,52
"BOSTON, MA US",2019-01-25,0,0,39
"BOSTON, MA US",2019-01-26,0,0,30
"BOSTON, MA US",2019-01-27,0,0,35
"BOSTON, MA US",2019-01-28,0,0,34
"BOSTON, MA US",2019-01-29,0.05,0,28
"BOSTON, MA US",2019-01-30,0.16,0.5,33
"BOSTON, MA US",2019-01-31,0,0,12
"BOSTON, MA US",2019-02-01,0,0,16
"BOSTON, MA US",2019-02-02,0,0,22
"BOSTON, MA US",2019-02-03,0,0,34
"BOSTON, MA US",2019-02-04,0,0,45
"BOSTON, MA US",2019-02-05,0,0,51
"BOSTON, MA US",2019-02-06,0.37,0,40
"BOSTON, MA US",2019-02-07,0.21,0,38
"BOSTON, MA US",2019-02-08,0.07,0,43
"BOSTON, MA US",2019-02-09,0,0,31
"BOSTON, MA US",2019-02-10,0,0,30
"BOSTON, MA US",2019-02-11,0,0,32
"BOSTON, MA US",2019-02-12,0.91,2.4,26
"BOSTON, MA US",2019-02-13,0.28,0.1,38
"BOSTON, MA US",2019-02-14,0,0,35
"BOSTON, MA US",2019-02-15,0.1,0,40
"BOSTON, MA US",2019-02-16,0,0,43
"BOSTON, MA US",2019-02-17,0,0,30
"BOSTON, MA US",2019-02-18,0.31,3.6,30
"BOSTON, MA US",2019-02-19,0,0,25
"BOSTON, MA US",2019-02-20,0.1,0.8,26
"BOSTON, MA US",2019-02-21,0.42,1.3,34
"BOSTON, MA US",2019-02-22,0,0,42
"BOSTON, MA US",2019-02-23,0,0,35
"BOSTON, MA US",2019-02-24,0.48,0,39
"BOSTON, MA US",2019-02-25,0,0,39
"BOSTON, MA US",2019-02-26,0,0,29
"BOSTON, MA US",2019-02-27,0.05,1.2,20
"BOSTON, MA US",2019-02-28,0.15,2.2,24
"BOSTON, MA US",2019-03-01,0,0,29
"BOSTON, MA US",2019-03-02,0.18,2,33
"BOSTON, MA US",2019-03-03,0.09,0.7,35
"BOSTON, MA US",2019-03-04,0.97,9.9,36
"BOSTON, MA US",2019-03-05,0,0,26
"BOSTON, MA US",2019-03-06,0,0,24
"BOSTON, MA US",2019-03-07,0,0,21
"BOSTON, MA US",2019-03-08,0,0,27
"BOSTON, MA US",2019-03-09,0,0,34
"BOSTON, MA US",2019-03-10,0.46,0.9,35
"BOSTON, MA US",2019-03-11,0,0,43
"BOSTON, MA US",2019-03-12,0,0,40
"BOSTON, MA US",2019-03-13,0,0,36
"BOSTON, MA US",2019-03-14,0,0,41
"BOSTON, MA US",2019-03-15,0.2,0,52
"BOSTON, MA US",2019-03-16,0,0,50
"BOSTON, MA US",2019-03-17,0,0,38
"BOSTON, MA US",2019-03-18,0,0,36
"BOSTON, MA US",2019-03-19,0,0,39
"BOSTON, MA US",2019-03-20,0,0,40
"BOSTON, MA US",2019-03-21,0,0,43
"BOSTON, MA US",2019-03-22,0.88,0,41
"BOSTON, MA US",2019-03-23,0.04,0,41
"BOSTON, MA US",2019-03-24,0,0,44
"BOSTON, MA US",2019-03-25,0,0,47
"BOSTON, MA US",2019-03-26,0,0,37
"BOSTON, MA US",2019-03-27,0,0,36
"BOSTON, MA US",2019-03-28,0.01,0,41
"BOSTON, MA US",2019-03-29,0.03,0,49
"BOSTON, MA US",2019-03-30,0,0,51
